Effective Date,Loan Type,Transaction Type,Amount,Interest,Principal,Balance,Days since,Leap,Period Interest,Interest
11/06/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,$405.65,$315.01,$90.64,"$66,413.54",33,0,0.005650684931507,$375.28
10/06/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,$405.65,$355.56,$50.09,"$66,504.18",32,0,0.005479452054795,$364.41
09/06/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,$797.50,$83.84,$713.66,"$66,554.27",9,0,0.001541095890411,$102.57
08/30/2018,DIRECT UNSUB CONSOLIDATION LN,Interest Capitalization,$0.00,"$4,219.43","+$4,219.43","$67,267.93",26,0,0.004452054794521,$299.48
08/06/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,$797.50,$797.50,$0.00,"$63,048.50",33,0,0.005650684931507,$356.27
07/06/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,$698.57,$698.57,$0.00,"$63,048.50",2,0,0.000342465753425,$21.59
07/06/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,$98.93,$98.93,$0.00,"$63,048.50",32,0,0.005479452054795,$345.47
06/06/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,$797.50,$797.50,$0.00,"$63,048.50",33,0,0.005650684931507,$356.27
05/06/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,$797.50,$797.50,$0.00,"$63,048.50",32,0,0.005479452054795,$345.47
04/06/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,$797.50,$797.50,$0.00,"$63,048.50",33,0,0.005650684931507,$356.27
03/06/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,$797.50,$797.50,$0.00,"$63,048.50",30,0,0.00513698630137,$323.88
02/06/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,$797.50,$797.50,$0.00,"$63,048.50",7,0,0.001198630136986,$75.57
02/01/2018,DIRECT UNSUB CONSOLIDATION LN,Payment,"$1,458.08","$1,458.08",$0.00,"$63,048.50",59,0,0.010102739726027,$636.96
12/06/2017,DIRECT UNSUB CONSOLIDATION LN,Payment,$348.69,$348.69,$0.00,"$63,048.50",7,0,0.001198630136986,$75.57
12/01/2017,DIRECT UNSUB CONSOLIDATION LN,Interest Capitalization,$0.00,$157.57,+$157.57,"$63,048.50",27,0,0.004623287671233,$291.49
11/06/2017,DIRECT UNSUB CONSOLIDATION LN,Payment,$348.69,$348.69,$0.00,"$62,890.93",33,0,0.005650684931507,$355.38
10/06/2017,DIRECT UNSUB CONSOLIDATION LN,Payment,$392.86,$392.86,$0.00,"$62,890.93",32,0,0.005479452054795,$344.61
09/06/2017,DIRECT UNSUB CONSOLIDATION LN,Payment,$392.86,$392.86,$0.00,"$62,890.93",33,0,0.005650684931507,$355.38
08/06/2017,DIRECT UNSUB CONSOLIDATION LN,Payment,$364.93,$364.93,$0.00,"$62,890.93",33,0,0.005650684931507,$355.38
07/06/2017,DIRECT UNSUB CONSOLIDATION LN,Payment,$205.99,$205.99,$0.00,"$62,890.93",32,0,0.005479452054795,$344.61
06/06/2017,DIRECT UNSUB CONSOLIDATION LN,Payment,$205.99,$205.99,$0.00,"$62,890.93",33,0,0.005650684931507,$355.38
05/06/2017,DIRECT UNSUB CONSOLIDATION LN,Payment,$205.99,$205.99,$0.00,"$62,890.93",32,0,0.005479452054795,$344.61
04/06/2017,DIRECT UNSUB CONSOLIDATION LN,Payment,$205.99,$205.99,$0.00,"$62,890.93",33,0,0.005650684931507,$355.38
03/06/2017,DIRECT UNSUB CONSOLIDATION LN,Payment,$205.99,$205.99,$0.00,"$62,890.93",30,0,0.00513698630137,$323.07
02/06/2017,DIRECT UNSUB CONSOLIDATION LN,Payment,$205.99,$205.99,$0.00,"$62,890.93",33,0,0.005650684931507,$355.38
